run_accession	bam_ftp	base_count	broker_name	experiment_accession	experiment_alias	fastq_aspera	fastq_bytes	fastq_ftp	fastq_galaxy	fastq_md5	first_public	instrument_model	last_updated	library_layout	library_selection	library_source	nominal_length	nominal_sdev	bam_bytes	run_alias	sample_accession	sample_alias	sample_title	scientific_name	secondary_sample_accession	secondary_study_accession	sra_bytes	sra_ftp	sra_md5	study_accession	study_title	submission_accession	submitted_bytes	submitted_format	submitted_ftp	submitted_galaxy	submitted_md5	tax_id
SRR8357696		1387438350		SRX5168753	242	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR835/006/SRR8357696/SRR8357696.fastq.gz	766263925	ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/006/SRR8357696/SRR8357696.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/006/SRR8357696/SRR8357696.fastq.gz	ec71b6b9fbee25d7360eea5c23aae593	2019-02-21	NextSeq 500	2019-02-21	SINGLE	PolyA	TRANSCRIPTOMIC				H2WHCBGX2_n01_50_0625_2.fastq.gz	SAMN10618549	50percent_Water_0.625mM_Nitrogen_Rep_2	Plant sample from Oryza sativa Japonica Group	Oryza sativa Japonica Group	SRS4176416	SRP174002	507947803	ftp.sra.ebi.ac.uk/vol1/srr/SRR835/006/SRR8357696	ed2db39af1e7f19f7596cefe9d9d688a	PRJNA510920	Water impacts nutrient dose responses genome-wide to affect crop production	SRA825332						39947
SRR8357698		1145460752		SRX5168751	320	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR835/008/SRR8357698/SRR8357698.fastq.gz	605628763	ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/008/SRR8357698/SRR8357698.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/008/SRR8357698/SRR8357698.fastq.gz	c1a349843df4e4849fc839f4a025cb1a	2019-02-21	Illumina HiSeq 2500	2019-02-21	SINGLE	PolyA	TRANSCRIPTOMIC				HL7Y3BGXY_n01_timecourse_shoot_10k2.fastq.gz	SAMN10618627	10min_leaf_KCl_Rep2	Plant sample from Oryza sativa Japonica Group	Oryza sativa Japonica Group	SRS4176414	SRP174002	396631301	ftp.sra.ebi.ac.uk/vol1/srr/SRR835/008/SRR8357698	1401e8b473dd3c7aa7476af562db746f	PRJNA510920	Water impacts nutrient dose responses genome-wide to affect crop production	SRA825332						39947
SRR8357699		1755814928		SRX5168750	319	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR835/009/SRR8357699/SRR8357699.fastq.gz	920300910	ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/009/SRR8357699/SRR8357699.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/009/SRR8357699/SRR8357699.fastq.gz	a06449623e50a98529287219e2c3fd3e	2019-02-21	Illumina HiSeq 2500	2019-02-21	SINGLE	PolyA	TRANSCRIPTOMIC				HL7Y3BGXY_n01_timecourse_shoot_10k1.fastq.gz	SAMN10618626	10min_leaf_KCl_Rep1	Plant sample from Oryza sativa Japonica Group	Oryza sativa Japonica Group	SRS4176413	SRP174002	601517812	ftp.sra.ebi.ac.uk/vol1/srr/SRR835/009/SRR8357699	f3bcd8ac52672664f61851c9d14ec986	PRJNA510920	Water impacts nutrient dose responses genome-wide to affect crop production	SRA825332						39947
SRR8357704		2133210408		SRX5168745	316	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR835/004/SRR8357704/SRR8357704.fastq.gz	1119100189	ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/004/SRR8357704/SRR8357704.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/004/SRR8357704/SRR8357704.fastq.gz	21426764fc496032b5b97d898e60b9a9	2019-02-21	Illumina HiSeq 2500	2019-02-21	SINGLE	PolyA	TRANSCRIPTOMIC				HL7Y3BGXY_n01_timecourse_shoot_01.fastq.gz	SAMN10618623	0min_leaf_Rep1	Plant sample from Oryza sativa Japonica Group	Oryza sativa Japonica Group	SRS4176408	SRP174002	730427206	ftp.sra.ebi.ac.uk/vol1/srr/SRR835/004/SRR8357704	777899e5e9a2f7604d31fd55a14b5c5c	PRJNA510920	Water impacts nutrient dose responses genome-wide to affect crop production	SRA825332						39947
SRR8357706		1406708100		SRX5168743	249	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR835/006/SRR8357706/SRR8357706.fastq.gz	776221355	ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/006/SRR8357706/SRR8357706.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/006/SRR8357706/SRR8357706.fastq.gz	427adcd8b452a37ccfc40b70ce16ef13	2019-02-21	NextSeq 500	2019-02-21	SINGLE	PolyA	TRANSCRIPTOMIC				H2WHCBGX2_n01_50_50_1.fastq.gz	SAMN10618556	50percent_Water_5mM_Nitrogen_Rep_1	Plant sample from Oryza sativa Japonica Group	Oryza sativa Japonica Group	SRS4176406	SRP174002	515366427	ftp.sra.ebi.ac.uk/vol1/srr/SRR835/006/SRR8357706	3723d0fa1c29dd421fc88f3aad4d8a20	PRJNA510920	Water impacts nutrient dose responses genome-wide to affect crop production	SRA825332						39947
SRR8357708		774141150		SRX5168741	45	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR835/008/SRR8357708/SRR8357708.fastq.gz	434292300	ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/008/SRR8357708/SRR8357708.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/008/SRR8357708/SRR8357708.fastq.gz	594a80c65a729c5153b013d7a5cd1617	2019-02-21	NextSeq 500	2019-02-21	SINGLE	PolyA	TRANSCRIPTOMIC				HGV7YBGX2_n01_4s-48_dr.fastq.gz	SAMN10618352	4s-48	Plant sample from Oryza sativa	Oryza sativa	SRS4176404	SRP174002	312431130	ftp.sra.ebi.ac.uk/vol1/srr/SRR835/008/SRR8357708	b83c2338a51b193dfa7ab2203deb0ff1	PRJNA510920	Water impacts nutrient dose responses genome-wide to affect crop production	SRA825332						4530
SRR8357710		890838063		SRX5168739	405	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR835/000/SRR8357710/SRR8357710.fastq.gz	606486742	ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/000/SRR8357710/SRR8357710.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/000/SRR8357710/SRR8357710.fastq.gz	0dbf654bdf486231c3f21127c3bb1166	2019-02-21	Illumina HiSeq 2500	2019-02-21	SINGLE	PolyA	TRANSCRIPTOMIC				C7W8DACXX l06n01 k_15_1.34100000034ee7.fastq.gz	SAMN10618712	15min_root_KCl_Rep1	Plant sample from Oryza sativa Japonica Group	Oryza sativa Japonica Group	SRS4176402	SRP174002	398478384	ftp.sra.ebi.ac.uk/vol1/srr/SRR835/000/SRR8357710	f2e78b945dbb853ffd4dd0f3a6b68fbf	PRJNA510920	Water impacts nutrient dose responses genome-wide to affect crop production	SRA825332						39947
SRR8357711		917343426		SRX5168738	408	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR835/001/SRR8357711/SRR8357711.fastq.gz	630815900	ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/001/SRR8357711/SRR8357711.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/001/SRR8357711/SRR8357711.fastq.gz	13f9afe0390b6d313cbecdcaef420db5	2019-02-21	Illumina HiSeq 2500	2019-02-21	SINGLE	PolyA	TRANSCRIPTOMIC				C7W8DACXX l08n01 k_5_3.34100000034e47.fastq.gz	SAMN10618715	5min_root_KCl_Rep3	Plant sample from Oryza sativa Japonica Group	Oryza sativa Japonica Group	SRS4176401	SRP174002	415450091	ftp.sra.ebi.ac.uk/vol1/srr/SRR835/001/SRR8357711	c0a61f4087014a03703b38c561c0ef9d	PRJNA510920	Water impacts nutrient dose responses genome-wide to affect crop production	SRA825332						39947
SRR8357714		767114715		SRX5168735	370	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR835/004/SRR8357714/SRR8357714.fastq.gz	522098784	ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/004/SRR8357714/SRR8357714.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/004/SRR8357714/SRR8357714.fastq.gz	e46e4e4e093983e7f4e7a79b291498e8	2019-02-21	Illumina HiSeq 2500	2019-02-21	SINGLE	PolyA	TRANSCRIPTOMIC				C7W8DACXX l06n01 n_30_2.341000000350e2.fastq.gz	SAMN10618677	30min_root_N_Rep2	Plant sample from Oryza sativa Japonica Group	Oryza sativa Japonica Group	SRS4176398	SRP174002	344336727	ftp.sra.ebi.ac.uk/vol1/srr/SRR835/004/SRR8357714	8f55c850fb0a27aa2e066ff84a5cb493	PRJNA510920	Water impacts nutrient dose responses genome-wide to affect crop production	SRA825332						39947
SRR8357716		692152314		SRX5168733	403	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR835/006/SRR8357716/SRR8357716.fastq.gz	458985208	ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/006/SRR8357716/SRR8357716.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/006/SRR8357716/SRR8357716.fastq.gz	ceaf8b5e3737f4ab93fa5cf771550983	2019-02-21	Illumina HiSeq 2500	2019-02-21	SINGLE	PolyA	TRANSCRIPTOMIC				C7W8DACXX l07n01 n_10_2.34100000034f89.fastq.gz	SAMN10618710	10min_root_N_Rep2	Plant sample from Oryza sativa Japonica Group	Oryza sativa Japonica Group	SRS4176396	SRP174002	304085576	ftp.sra.ebi.ac.uk/vol1/srr/SRR835/006/SRR8357716	a66126c6162d85160dcf19c7e9b69124	PRJNA510920	Water impacts nutrient dose responses genome-wide to affect crop production	SRA825332						39947
SRR8357723		839254419		SRX5168726	363	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR835/003/SRR8357723/SRR8357723.fastq.gz	562308756	ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/003/SRR8357723/SRR8357723.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/003/SRR8357723/SRR8357723.fastq.gz	df68c954067b2e62bef42bae7b8ef765	2019-02-21	Illumina HiSeq 2500	2019-02-21	SINGLE	PolyA	TRANSCRIPTOMIC				C7KCWACXX_l01n01_n_20_1.3510000003832a.fastq.gz	SAMN10618670	20min_root_N_Rep1	Plant sample from Oryza sativa Japonica Group	Oryza sativa Japonica Group	SRS4176389	SRP174002	369222994	ftp.sra.ebi.ac.uk/vol1/srr/SRR835/003/SRR8357723	ce6c0f7ced0ca270b1bddbf010e7c5e0	PRJNA510920	Water impacts nutrient dose responses genome-wide to affect crop production	SRA825332						39947
SRR8357726		795700725		SRX5168723	369	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR835/006/SRR8357726/SRR8357726.fastq.gz	540876618	ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/006/SRR8357726/SRR8357726.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/006/SRR8357726/SRR8357726.fastq.gz	13c6e8bc8572fdc300ce6664b1ee9b9f	2019-02-21	Illumina HiSeq 2500	2019-02-21	SINGLE	PolyA	TRANSCRIPTOMIC				C7W8DACXX l06n01 n_30_1.341000000350c8.fastq.gz	SAMN10618676	30min_root_N_Rep1	Plant sample from Oryza sativa Japonica Group	Oryza sativa Japonica Group	SRS4176386	SRP174002	355775377	ftp.sra.ebi.ac.uk/vol1/srr/SRR835/006/SRR8357726	19f1592aa9f6d31f76e80e5c536bc0cf	PRJNA510920	Water impacts nutrient dose responses genome-wide to affect crop production	SRA825332						39947
SRR8357729		1019274150		SRX5168720	59	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR835/009/SRR8357729/SRR8357729.fastq.gz	487782119	ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/009/SRR8357729/SRR8357729.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/009/SRR8357729/SRR8357729.fastq.gz	12b71f2422010dc8ea54c8809642a6ec	2019-02-21	NextSeq 500	2019-02-21	SINGLE	PolyA	TRANSCRIPTOMIC				HHM3YBGX2_n01_jes_4w-2.fastq.gz	SAMN10618366	4w-02	Plant sample from Oryza sativa	Oryza sativa	SRS4176384	SRP174002	337212135	ftp.sra.ebi.ac.uk/vol1/srr/SRR835/009/SRR8357729	faec2c210faeac5df883c09a398ce54c	PRJNA510920	Water impacts nutrient dose responses genome-wide to affect crop production	SRA825332						4530
SRR8357668		963826425		SRX5168781	140	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR835/008/SRR8357668/SRR8357668.fastq.gz	540340761	ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/008/SRR8357668/SRR8357668.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/008/SRR8357668/SRR8357668.fastq.gz	593abd3c9d2e0c21cee833f7b45a5bde	2019-02-21	NextSeq 500	2019-02-21	SINGLE	PolyA	TRANSCRIPTOMIC				HFJJCBGX2_n01_9s-27.fastq.gz	SAMN10618447	9s-27	Plant sample from Oryza sativa	Oryza sativa	SRS4176444	SRP174002	365480800	ftp.sra.ebi.ac.uk/vol1/srr/SRR835/008/SRR8357668	e43ef62c6d48aac0c51f640c2ec43a4b	PRJNA510920	Water impacts nutrient dose responses genome-wide to affect crop production	SRA825332						4530
SRR8357730		1077609900		SRX5168719	56	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR835/000/SRR8357730/SRR8357730.fastq.gz	591679378	ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/000/SRR8357730/SRR8357730.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/000/SRR8357730/SRR8357730.fastq.gz	113e408acedfd3a5fc6325c84c55e531	2019-02-21	NextSeq 500	2019-02-21	SINGLE	PolyA	TRANSCRIPTOMIC				HYJKMBGXY_n01_4s-59.fastq.gz	SAMN10618363	4s-59	Plant sample from Oryza sativa	Oryza sativa	SRS4176382	SRP174002	409149903	ftp.sra.ebi.ac.uk/vol1/srr/SRR835/000/SRR8357730	2884d13eb1d23d78e871d81697b17b92	PRJNA510920	Water impacts nutrient dose responses genome-wide to affect crop production	SRA825332						4530
SRR8357670		934884264		SRX5168779	383	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR835/000/SRR8357670/SRR8357670.fastq.gz	629521046	ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/000/SRR8357670/SRR8357670.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/000/SRR8357670/SRR8357670.fastq.gz	894f3f052ab722c7f012d860c8dc458b	2019-02-21	Illumina HiSeq 2500	2019-02-21	SINGLE	PolyA	TRANSCRIPTOMIC				C7KCWACXX_l01n01_n_45_3.35100000038245.fastq.gz	SAMN10618690	45min_root_N_Rep3	Plant sample from Oryza sativa Japonica Group	Oryza sativa Japonica Group	SRS4176442	SRP174002	413549168	ftp.sra.ebi.ac.uk/vol1/srr/SRR835/000/SRR8357670	771e971dd17c20a3954c4f34f7b03e7e	PRJNA510920	Water impacts nutrient dose responses genome-wide to affect crop production	SRA825332						39947
SRR8357731		1161628575		SRX5168718	55	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR835/001/SRR8357731/SRR8357731.fastq.gz	623645922	ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/001/SRR8357731/SRR8357731.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/001/SRR8357731/SRR8357731.fastq.gz	beb7886e01799e0882fff2a6d9138ece	2019-02-21	NextSeq 500	2019-02-21	SINGLE	PolyA	TRANSCRIPTOMIC				HGVJGBGX2_n01_4s-58_dr.fastq.gz	SAMN10618362	4s-58	Plant sample from Oryza sativa	Oryza sativa	SRS4176381	SRP174002	451946547	ftp.sra.ebi.ac.uk/vol1/srr/SRR835/001/SRR8357731	49ad89d84a70e538ede74f6b5b9dd18b	PRJNA510920	Water impacts nutrient dose responses genome-wide to affect crop production	SRA825332						4530
SRR8357672		1102339041		SRX5168777	381	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR835/002/SRR8357672/SRR8357672.fastq.gz	742864800	ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/002/SRR8357672/SRR8357672.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/002/SRR8357672/SRR8357672.fastq.gz	02426a3f2c937eb1b1758b4bd370ab6b	2019-02-21	Illumina HiSeq 2500	2019-02-21	SINGLE	PolyA	TRANSCRIPTOMIC				C7KCWACXX_l01n01_n_45_1.351000000381f3.fastq.gz	SAMN10618688	45min_root_N_Rep1	Plant sample from Oryza sativa Japonica Group	Oryza sativa Japonica Group	SRS4176440	SRP174002	488330821	ftp.sra.ebi.ac.uk/vol1/srr/SRR835/002/SRR8357672	f9eb082f2dc83b36c38a18dbbb29557e	PRJNA510920	Water impacts nutrient dose responses genome-wide to affect crop production	SRA825332						39947
SRR8357732		4146053700		SRX5168717	58	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR835/002/SRR8357732/SRR8357732.fastq.gz	2320218226	ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/002/SRR8357732/SRR8357732.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/002/SRR8357732/SRR8357732.fastq.gz	eeace0282f554b986a99f95502f069bf	2019-02-21	NextSeq 500	2019-02-21	SINGLE	PolyA	TRANSCRIPTOMIC				HGVJGBGX2_n01_4w-1_dr.fastq.gz	SAMN10618365	4w-01	Plant sample from Oryza sativa	Oryza sativa	SRS4176380	SRP174002	1608647648	ftp.sra.ebi.ac.uk/vol1/srr/SRR835/002/SRR8357732	f50dea3f4175d02e806b8f47bba415ba	PRJNA510920	Water impacts nutrient dose responses genome-wide to affect crop production	SRA825332						4530
