gene,chr,start,end,strand,attributes
534M_045.3,534M_045,39205,39620,-,"{'ID': '534M_045.3', 'Name': '534M_045.3'}"
534M_045.2,534M_045,48366,48781,-,"{'ID': '534M_045.2', 'Name': '534M_045.2'}"
534M_045.1,534M_045,57027,57442,-,"{'ID': '534M_045.1', 'Name': '534M_045.1'}"
534M_046.5,534M_046,4723,5138,+,"{'ID': '534M_046.5', 'Name': '534M_046.5'}"
534M_046.4,534M_046,13384,13799,+,"{'ID': '534M_046.4', 'Name': '534M_046.4'}"
534M_046.3,534M_046,22544,22959,+,"{'ID': '534M_046.3', 'Name': '534M_046.3'}"
534M_046.2,534M_046,31207,31622,+,"{'ID': '534M_046.2', 'Name': '534M_046.2'}"
534M_046.1,534M_046,39869,40284,+,"{'ID': '534M_046.1', 'Name': '534M_046.1'}"
534M_046.6,534M_046,47481,47687,+,"{'ID': '534M_046.6', 'Name': '534M_046.6'}"
534M_048.4,534M_048,9177,9594,+,"{'ID': '534M_048.4', 'Name': '534M_048.4'}"
534M_048.3,534M_048,18100,18517,+,"{'ID': '534M_048.3', 'Name': '534M_048.3'}"
534M_048.2,534M_048,27024,27441,+,"{'ID': '534M_048.2', 'Name': '534M_048.2'}"
534M_048.1,534M_048,35947,36364,+,"{'ID': '534M_048.1', 'Name': '534M_048.1'}"
534M_048.5,534M_048,43820,44000,+,"{'ID': '534M_048.5', 'Name': '534M_048.5'}"
534M_052.1,534M_052,951,1305,-,"{'ID': '534M_052.1', 'Name': '534M_052.1'}"
534M_052.2,534M_052,8359,8610,-,"{'ID': '534M_052.2', 'Name': '534M_052.2'}"
534M_052.3,534M_052,8626,9222,-,"{'ID': '534M_052.3', 'Name': '534M_052.3'}"
534M_052.4,534M_052,9726,10868,+,"{'ID': '534M_052.4', 'Name': '534M_052.4'}"
534M_052.5,534M_052,14967,22255,-,"{'ID': '534M_052.5', 'Name': '534M_052.5'}"
534M_052.6,534M_052,24851,26305,-,"{'ID': '534M_052.6', 'Name': '534M_052.6'}"
534M_052.7,534M_052,26873,27508,-,"{'ID': '534M_052.7', 'Name': '534M_052.7'}"
534M_052.8,534M_052,32569,33255,+,"{'ID': '534M_052.8', 'Name': '534M_052.8'}"
534M_052.9,534M_052,33442,33627,+,"{'ID': '534M_052.9', 'Name': '534M_052.9'}"
534M_052.10,534M_052,35357,37519,+,"{'ID': '534M_052.10', 'Name': '534M_052.10'}"
534M_052.11,534M_052,38407,38840,+,"{'ID': '534M_052.11', 'Name': '534M_052.11'}"
534M_052.12,534M_052,40037,42725,-,"{'ID': '534M_052.12', 'Name': '534M_052.12'}"
534M_052.13,534M_052,46001,46270,-,"{'ID': '534M_052.13', 'Name': '534M_052.13'}"
534M_057.6,534M_057,3514,3678,+,"{'ID': '534M_057.6', 'Name': '534M_057.6'}"
534M_057.5,534M_057,14193,14608,-,"{'ID': '534M_057.5', 'Name': '534M_057.5'}"
534M_057.4,534M_057,22854,23269,-,"{'ID': '534M_057.4', 'Name': '534M_057.4'}"
534M_057.3,534M_057,45731,46146,-,"{'ID': '534M_057.3', 'Name': '534M_057.3'}"
534M_057.2,534M_057,54392,54807,-,"{'ID': '534M_057.2', 'Name': '534M_057.2'}"
534M_057.1,534M_057,63053,63468,-,"{'ID': '534M_057.1', 'Name': '534M_057.1'}"
534M_072.1,534M_072,15439,15860,+,"{'ID': '534M_072.1', 'Name': '534M_072.1'}"
534M_072.2,534M_072,24362,24779,+,"{'ID': '534M_072.2', 'Name': '534M_072.2'}"
534M_080.1,534M_080,5012,5427,+,"{'ID': '534M_080.1', 'Name': '534M_080.1'}"
534M_080.3,534M_080,12387,12833,+,"{'ID': '534M_080.3', 'Name': '534M_080.3'}"
534M_080.2,534M_080,56792,56952,+,"{'ID': '534M_080.2', 'Name': '534M_080.2'}"
534M_080.4,534M_080,87386,87897,-,"{'ID': '534M_080.4', 'Name': '534M_080.4'}"
534M_088.2,534M_088,7014,7429,-,"{'ID': '534M_088.2', 'Name': '534M_088.2'}"
534M_088.1,534M_088,15674,16089,-,"{'ID': '534M_088.1', 'Name': '534M_088.1'}"
534M_088.4,534M_088,25848,26054,-,"{'ID': '534M_088.4', 'Name': '534M_088.4'}"
534M_088.3,534M_088,34770,34956,-,"{'ID': '534M_088.3', 'Name': '534M_088.3'}"
534M_088.5,534M_088,44435,44626,-,"{'ID': '534M_088.5', 'Name': '534M_088.5'}"
534M_088.6,534M_088,52617,52823,-,"{'ID': '534M_088.6', 'Name': '534M_088.6'}"
534M_094.1,534M_094,8758,9173,-,"{'ID': '534M_094.1', 'Name': '534M_094.1'}"
534M_094.3,534M_094,28073,28264,-,"{'ID': '534M_094.3', 'Name': '534M_094.3'}"
534M_094.2,534M_094,34841,35164,-,"{'ID': '534M_094.2', 'Name': '534M_094.2'}"
534M_094.5,534M_094,36265,36471,-,"{'ID': '534M_094.5', 'Name': '534M_094.5'}"
534M_094.4,534M_094,45930,46121,-,"{'ID': '534M_094.4', 'Name': '534M_094.4'}"
534M_095.1,534M_095,242,6516,-,"{'ID': '534M_095.1', 'Name': '534M_095.1'}"
534M_095.2,534M_095,11214,12100,-,"{'ID': '534M_095.2', 'Name': '534M_095.2'}"
534M_095.3,534M_095,13394,15267,+,"{'ID': '534M_095.3', 'Name': '534M_095.3'}"
534M_095.4,534M_095,16946,26475,-,"{'ID': '534M_095.4', 'Name': '534M_095.4'}"
534M_095.5,534M_095,31170,32119,-,"{'ID': '534M_095.5', 'Name': '534M_095.5'}"
534M_095.6,534M_095,33355,35227,+,"{'ID': '534M_095.6', 'Name': '534M_095.6'}"
534M_095.7,534M_095,36906,46423,-,"{'ID': '534M_095.7', 'Name': '534M_095.7'}"
534M_095.8,534M_095,51115,52001,-,"{'ID': '534M_095.8', 'Name': '534M_095.8'}"
534M_095.9,534M_095,53296,55170,+,"{'ID': '534M_095.9', 'Name': '534M_095.9'}"
534M_095.10,534M_095,56849,66375,-,"{'ID': '534M_095.10', 'Name': '534M_095.10'}"
534M_095.11,534M_095,71067,71953,-,"{'ID': '534M_095.11', 'Name': '534M_095.11'}"
534M_095.12,534M_095,73247,75121,+,"{'ID': '534M_095.12', 'Name': '534M_095.12'}"
534M_095.13,534M_095,76800,78767,-,"{'ID': '534M_095.13', 'Name': '534M_095.13'}"
534M_097.2,534M_097,13544,13961,+,"{'ID': '534M_097.2', 'Name': '534M_097.2'}"
534M_097.1,534M_097,22468,22885,+,"{'ID': '534M_097.1', 'Name': '534M_097.1'}"
534M_100.6,534M_100,7640,7831,-,"{'ID': '534M_100.6', 'Name': '534M_100.6'}"
534M_100.5,534M_100,14058,14473,-,"{'ID': '534M_100.5', 'Name': '534M_100.5'}"
534M_100.4,534M_100,22720,23135,-,"{'ID': '534M_100.4', 'Name': '534M_100.4'}"
534M_100.3,534M_100,31380,31795,-,"{'ID': '534M_100.3', 'Name': '534M_100.3'}"
534M_100.2,534M_100,40039,40454,-,"{'ID': '534M_100.2', 'Name': '534M_100.2'}"
534M_100.1,534M_100,48700,49115,-,"{'ID': '534M_100.1', 'Name': '534M_100.1'}"
534M_106.1,534M_106,1205,1626,-,"{'ID': '534M_106.1', 'Name': '534M_106.1'}"
534M_106.2,534M_106,12388,12579,-,"{'ID': '534M_106.2', 'Name': '534M_106.2'}"
534M_109.1,534M_109,1815,2288,+,"{'ID': '534M_109.1', 'Name': '534M_109.1'}"
534M_132.2,534M_132,2060,2475,+,"{'ID': '534M_132.2', 'Name': '534M_132.2'}"
534M_132.1,534M_132,10722,11137,+,"{'ID': '534M_132.1', 'Name': '534M_132.1'}"
534M_141.5,534M_141,7210,7625,-,"{'ID': '534M_141.5', 'Name': '534M_141.5'}"
534M_141.6,534M_141,17156,17336,-,"{'ID': '534M_141.6', 'Name': '534M_141.6'}"
534M_141.4,534M_141,24533,24948,-,"{'ID': '534M_141.4', 'Name': '534M_141.4'}"
534M_141.3,534M_141,33697,34112,-,"{'ID': '534M_141.3', 'Name': '534M_141.3'}"
534M_141.2,534M_141,42357,42772,-,"{'ID': '534M_141.2', 'Name': '534M_141.2'}"
534M_141.1,534M_141,51019,51434,-,"{'ID': '534M_141.1', 'Name': '534M_141.1'}"
534M_142.1,534M_142,1248,4899,+,"{'ID': '534M_142.1', 'Name': '534M_142.1'}"
534M_142.2,534M_142,6578,8452,-,"{'ID': '534M_142.2', 'Name': '534M_142.2'}"
534M_142.3,534M_142,9683,10632,+,"{'ID': '534M_142.3', 'Name': '534M_142.3'}"
534M_142.4,534M_142,15324,24846,+,"{'ID': '534M_142.4', 'Name': '534M_142.4'}"
534M_142.5,534M_142,26525,28399,-,"{'ID': '534M_142.5', 'Name': '534M_142.5'}"
534M_142.6,534M_142,29693,30579,+,"{'ID': '534M_142.6', 'Name': '534M_142.6'}"
534M_142.7,534M_142,35277,44789,+,"{'ID': '534M_142.7', 'Name': '534M_142.7'}"
534M_142.8,534M_142,46468,48342,-,"{'ID': '534M_142.8', 'Name': '534M_142.8'}"
534M_142.9,534M_142,49637,50523,+,"{'ID': '534M_142.9', 'Name': '534M_142.9'}"
534M_142.10,534M_142,55215,56276,+,"{'ID': '534M_142.10', 'Name': '534M_142.10'}"
534M_145.4,534M_145,1529,1709,+,"{'ID': '534M_145.4', 'Name': '534M_145.4'}"
534M_145.3,534M_145,11244,11659,+,"{'ID': '534M_145.3', 'Name': '534M_145.3'}"
534M_145.2,534M_145,19905,20320,+,"{'ID': '534M_145.2', 'Name': '534M_145.2'}"
534M_145.1,534M_145,28565,28980,+,"{'ID': '534M_145.1', 'Name': '534M_145.1'}"
534M_149.2,534M_149,10416,10833,+,"{'ID': '534M_149.2', 'Name': '534M_149.2'}"
534M_149.1,534M_149,19340,19757,+,"{'ID': '534M_149.1', 'Name': '534M_149.1'}"
534M_150.1,534M_150,3551,13080,+,"{'ID': '534M_150.1', 'Name': '534M_150.1'}"
534M_150.2,534M_150,14759,16632,-,"{'ID': '534M_150.2', 'Name': '534M_150.2'}"
534M_150.3,534M_150,17863,18812,+,"{'ID': '534M_150.3', 'Name': '534M_150.3'}"
534M_150.4,534M_150,23506,24588,+,"{'ID': '534M_150.4', 'Name': '534M_150.4'}"
534M_152.3,534M_152,8905,9320,-,"{'ID': '534M_152.3', 'Name': '534M_152.3'}"
534M_152.2,534M_152,17565,17980,-,"{'ID': '534M_152.2', 'Name': '534M_152.2'}"
534M_152.1,534M_152,26225,26640,-,"{'ID': '534M_152.1', 'Name': '534M_152.1'}"
534M_154.1,534M_154,32736,32896,-,"{'ID': '534M_154.1', 'Name': '534M_154.1'}"
534M_158.1,534M_158,16637,16787,-,"{'ID': '534M_158.1', 'Name': '534M_158.1'}"
534M_158.2,534M_158,47200,47350,-,"{'ID': '534M_158.2', 'Name': '534M_158.2'}"
534M_159.2,534M_159,13561,13741,+,"{'ID': '534M_159.2', 'Name': '534M_159.2'}"
534M_159.1,534M_159,14865,15282,+,"{'ID': '534M_159.1', 'Name': '534M_159.1'}"
534M_164.1,534M_164,16579,16759,-,"{'ID': '534M_164.1', 'Name': '534M_164.1'}"
534M_165.5,534M_165,3934,4088,+,"{'ID': '534M_165.5', 'Name': '534M_165.5'}"
534M_165.4,534M_165,12612,12803,+,"{'ID': '534M_165.4', 'Name': '534M_165.4'}"
534M_165.3,534M_165,14642,15059,+,"{'ID': '534M_165.3', 'Name': '534M_165.3'}"
534M_165.2,534M_165,23565,23982,+,"{'ID': '534M_165.2', 'Name': '534M_165.2'}"
534M_165.1,534M_165,32487,32904,+,"{'ID': '534M_165.1', 'Name': '534M_165.1'}"
534M_166.1,534M_166,8795,9212,-,"{'ID': '534M_166.1', 'Name': '534M_166.1'}"
534M_166.2,534M_166,10590,10750,-,"{'ID': '534M_166.2', 'Name': '534M_166.2'}"
534M_172.1,534M_172,8615,9032,-,"{'ID': '534M_172.1', 'Name': '534M_172.1'}"
534M_172.2,534M_172,19795,19986,-,"{'ID': '534M_172.2', 'Name': '534M_172.2'}"
534M_177.1,534M_177,33575,33766,-,"{'ID': '534M_177.1', 'Name': '534M_177.1'}"
534M_184.1,534M_184,14911,15328,+,"{'ID': '534M_184.1', 'Name': '534M_184.1'}"
534M_193.2,534M_193,3700,4115,+,"{'ID': '534M_193.2', 'Name': '534M_193.2'}"
534M_193.1,534M_193,12365,12780,+,"{'ID': '534M_193.1', 'Name': '534M_193.1'}"
534M_202.1,534M_202,76540,76755,+,"{'ID': '534M_202.1', 'Name': '534M_202.1'}"
534M_205.2,534M_205,10796,11008,+,"{'ID': '534M_205.2', 'Name': '534M_205.2'}"
534M_205.1,534M_205,12386,12803,+,"{'ID': '534M_205.1', 'Name': '534M_205.1'}"
534M_205.3,534M_205,19772,19932,+,"{'ID': '534M_205.3', 'Name': '534M_205.3'}"
534M_215.1,534M_215,18680,19012,+,"{'ID': '534M_215.1', 'Name': '534M_215.1'}"
534M_215.2,534M_215,93583,93771,+,"{'ID': '534M_215.2', 'Name': '534M_215.2'}"
534M_218.1,534M_218,7614,8031,-,"{'ID': '534M_218.1', 'Name': '534M_218.1'}"
534M_230.1,534M_230,183,1783,-,"{'ID': '534M_230.1', 'Name': '534M_230.1'}"
534M_230.2,534M_230,3015,3964,+,"{'ID': '534M_230.2', 'Name': '534M_230.2'}"
534M_230.3,534M_230,8656,18174,+,"{'ID': '534M_230.3', 'Name': '534M_230.3'}"
534M_230.4,534M_230,19853,21727,-,"{'ID': '534M_230.4', 'Name': '534M_230.4'}"
534M_230.5,534M_230,23022,23908,+,"{'ID': '534M_230.5', 'Name': '534M_230.5'}"
534M_230.6,534M_230,28600,35099,+,"{'ID': '534M_230.6', 'Name': '534M_230.6'}"
534M_234.1,534M_234,14442,14861,-,"{'ID': '534M_234.1', 'Name': '534M_234.1'}"
534M_234.2,534M_234,23106,23521,-,"{'ID': '534M_234.2', 'Name': '534M_234.2'}"
534M_240.1,534M_240,833,1254,-,"{'ID': '534M_240.1', 'Name': '534M_240.1'}"
534M_240.2,534M_240,2379,2559,-,"{'ID': '534M_240.2', 'Name': '534M_240.2'}"
534M_241.5,534M_241,10493,10684,+,"{'ID': '534M_241.5', 'Name': '534M_241.5'}"
534M_241.4,534M_241,12523,12940,+,"{'ID': '534M_241.4', 'Name': '534M_241.4'}"
534M_241.3,534M_241,21448,21865,+,"{'ID': '534M_241.3', 'Name': '534M_241.3'}"
534M_241.2,534M_241,30371,30788,+,"{'ID': '534M_241.2', 'Name': '534M_241.2'}"
534M_241.1,534M_241,39294,39715,+,"{'ID': '534M_241.1', 'Name': '534M_241.1'}"
534M_282.11,534M_282,8937,9128,-,"{'ID': '534M_282.11', 'Name': '534M_282.11'}"
534M_282.10,534M_282,15354,15769,-,"{'ID': '534M_282.10', 'Name': '534M_282.10'}"
534M_282.9,534M_282,24519,24934,-,"{'ID': '534M_282.9', 'Name': '534M_282.9'}"
534M_282.8,534M_282,33682,34097,-,"{'ID': '534M_282.8', 'Name': '534M_282.8'}"
534M_282.7,534M_282,42344,42759,-,"{'ID': '534M_282.7', 'Name': '534M_282.7'}"
534M_282.6,534M_282,51005,51420,-,"{'ID': '534M_282.6', 'Name': '534M_282.6'}"
534M_282.5,534M_282,59669,60084,-,"{'ID': '534M_282.5', 'Name': '534M_282.5'}"
534M_282.4,534M_282,68329,68744,-,"{'ID': '534M_282.4', 'Name': '534M_282.4'}"
534M_282.3,534M_282,76992,77407,-,"{'ID': '534M_282.3', 'Name': '534M_282.3'}"
534M_282.2,534M_282,85653,86068,-,"{'ID': '534M_282.2', 'Name': '534M_282.2'}"
534M_282.1,534M_282,94315,94730,-,"{'ID': '534M_282.1', 'Name': '534M_282.1'}"
534M_283.2,534M_283,15123,15538,-,"{'ID': '534M_283.2', 'Name': '534M_283.2'}"
534M_283.1,534M_283,23786,24201,-,"{'ID': '534M_283.1', 'Name': '534M_283.1'}"
534M_284.4,534M_284,5054,5469,+,"{'ID': '534M_284.4', 'Name': '534M_284.4'}"
534M_284.3,534M_284,14214,14629,+,"{'ID': '534M_284.3', 'Name': '534M_284.3'}"
534M_284.2,534M_284,23374,23789,+,"{'ID': '534M_284.2', 'Name': '534M_284.2'}"
534M_284.1,534M_284,32534,32949,+,"{'ID': '534M_284.1', 'Name': '534M_284.1'}"
534M_284.5,534M_284,43465,43629,-,"{'ID': '534M_284.5', 'Name': '534M_284.5'}"
534M_290.2,534M_290,4428,4578,-,"{'ID': '534M_290.2', 'Name': '534M_290.2'}"
534M_290.1,534M_290,11058,11473,-,"{'ID': '534M_290.1', 'Name': '534M_290.1'}"
534M_305.3,534M_305,10865,11280,-,"{'ID': '534M_305.3', 'Name': '534M_305.3'}"
534M_305.2,534M_305,19525,19940,-,"{'ID': '534M_305.2', 'Name': '534M_305.2'}"
534M_305.1,534M_305,28691,29106,-,"{'ID': '534M_305.1', 'Name': '534M_305.1'}"
534M_312.3,534M_312,3672,4087,+,"{'ID': '534M_312.3', 'Name': '534M_312.3'}"
534M_312.2,534M_312,12333,12748,+,"{'ID': '534M_312.2', 'Name': '534M_312.2'}"
534M_312.1,534M_312,20995,21410,+,"{'ID': '534M_312.1', 'Name': '534M_312.1'}"
534M_312.4,534M_312,29655,30074,+,"{'ID': '534M_312.4', 'Name': '534M_312.4'}"
534M_318.5,534M_318,18116,18531,+,"{'ID': '534M_318.5', 'Name': '534M_318.5'}"
534M_318.4,534M_318,26778,27193,+,"{'ID': '534M_318.4', 'Name': '534M_318.4'}"
534M_318.3,534M_318,35440,35855,+,"{'ID': '534M_318.3', 'Name': '534M_318.3'}"
534M_318.2,534M_318,44099,44514,+,"{'ID': '534M_318.2', 'Name': '534M_318.2'}"
534M_318.1,534M_318,52763,53178,+,"{'ID': '534M_318.1', 'Name': '534M_318.1'}"
534M_318.6,534M_318,60375,60555,+,"{'ID': '534M_318.6', 'Name': '534M_318.6'}"
534M_326.2,534M_326,3513,3928,+,"{'ID': '534M_326.2', 'Name': '534M_326.2'}"
534M_326.1,534M_326,12173,12588,+,"{'ID': '534M_326.1', 'Name': '534M_326.1'}"
534M_343.1,534M_343,10042,10459,+,"{'ID': '534M_343.1', 'Name': '534M_343.1'}"
534M_344.2,534M_344,8748,8939,-,"{'ID': '534M_344.2', 'Name': '534M_344.2'}"
534M_344.1,534M_344,16702,16882,-,"{'ID': '534M_344.1', 'Name': '534M_344.1'}"
534M_351.3,534M_351,10466,10881,-,"{'ID': '534M_351.3', 'Name': '534M_351.3'}"
534M_351.2,534M_351,19127,19542,-,"{'ID': '534M_351.2', 'Name': '534M_351.2'}"
534M_351.1,534M_351,27789,28204,-,"{'ID': '534M_351.1', 'Name': '534M_351.1'}"
534M_361.1,534M_361,2358,2549,+,"{'ID': '534M_361.1', 'Name': '534M_361.1'}"
534M_362.1,534M_362,5788,5942,-,"{'ID': '534M_362.1', 'Name': '534M_362.1'}"
534M_394.2,534M_394,5124,5284,-,"{'ID': '534M_394.2', 'Name': '534M_394.2'}"
534M_394.1,534M_394,14549,14699,-,"{'ID': '534M_394.1', 'Name': '534M_394.1'}"
534M_414.1,534M_414,124,3664,+,"{'ID': '534M_414.1', 'Name': '534M_414.1'}"
534M_414.2,534M_414,5343,7217,-,"{'ID': '534M_414.2', 'Name': '534M_414.2'}"
534M_414.3,534M_414,8448,9397,+,"{'ID': '534M_414.3', 'Name': '534M_414.3'}"
534M_414.4,534M_414,14090,15151,+,"{'ID': '534M_414.4', 'Name': '534M_414.4'}"
534M_440.3,534M_440,7375,7790,+,"{'ID': '534M_440.3', 'Name': '534M_440.3'}"
534M_440.2,534M_440,16036,16451,+,"{'ID': '534M_440.2', 'Name': '534M_440.2'}"
534M_440.1,534M_440,24698,25113,+,"{'ID': '534M_440.1', 'Name': '534M_440.1'}"
534M_452.1,534M_452,2795,3127,-,"{'ID': '534M_452.1', 'Name': '534M_452.1'}"
534M_453.1,534M_453,15384,15801,+,"{'ID': '534M_453.1', 'Name': '534M_453.1'}"
534M_455.2,534M_455,9962,10377,-,"{'ID': '534M_455.2', 'Name': '534M_455.2'}"
534M_455.1,534M_455,18625,19040,-,"{'ID': '534M_455.1', 'Name': '534M_455.1'}"
534M_480.1,534M_480,7599,8016,+,"{'ID': '534M_480.1', 'Name': '534M_480.1'}"
534M_483.1,534M_483,2017,2434,-,"{'ID': '534M_483.1', 'Name': '534M_483.1'}"
534M_488.1,534M_488,9795,10210,-,"{'ID': '534M_488.1', 'Name': '534M_488.1'}"
534M_489.1,534M_489,2775,2966,-,"{'ID': '534M_489.1', 'Name': '534M_489.1'}"
534M_503.1,534M_503,7675,8092,-,"{'ID': '534M_503.1', 'Name': '534M_503.1'}"
534M_513.2,534M_513,11181,11598,+,"{'ID': '534M_513.2', 'Name': '534M_513.2'}"
534M_513.1,534M_513,20104,20521,+,"{'ID': '534M_513.1', 'Name': '534M_513.1'}"
534M_521.1,534M_521,12287,12704,+,"{'ID': '534M_521.1', 'Name': '534M_521.1'}"
534M_522.1,534M_522,15544,15735,-,"{'ID': '534M_522.1', 'Name': '534M_522.1'}"
534M_523.1,534M_523,6522,6676,+,"{'ID': '534M_523.1', 'Name': '534M_523.1'}"
534M_524.1,534M_524,26921,29206,+,"{'ID': '534M_524.1', 'Name': '534M_524.1'}"
534M_525.2,534M_525,4647,5062,+,"{'ID': '534M_525.2', 'Name': '534M_525.2'}"
534M_525.1,534M_525,13747,14162,+,"{'ID': '534M_525.1', 'Name': '534M_525.1'}"
534M_526.1,534M_526,2339,4624,+,"{'ID': '534M_526.1', 'Name': '534M_526.1'}"
534M_526.2,534M_526,23472,24068,-,"{'ID': '534M_526.2', 'Name': '534M_526.2'}"
534M_010.936,chr1,10457,17508,+,"{'ID': '534M_010.936', 'Name': '534M_010.936'}"
534M_010.935,chr1,18625,19497,-,"{'ID': '534M_010.935', 'Name': '534M_010.935'}"
534M_010.934,chr1,20027,22612,+,"{'ID': '534M_010.934', 'Name': '534M_010.934'}"
534M_010.933,chr1,23852,26846,+,"{'ID': '534M_010.933', 'Name': '534M_010.933'}"
534M_010.932,chr1,29500,30488,+,"{'ID': '534M_010.932', 'Name': '534M_010.932'}"
534M_010.931,chr1,30664,33648,+,"{'ID': '534M_010.931', 'Name': '534M_010.931'}"
534M_010.930,chr1,34478,35740,+,"{'ID': '534M_010.930', 'Name': '534M_010.930'}"
534M_010.929,chr1,37266,41450,+,"{'ID': '534M_010.929', 'Name': '534M_010.929'}"
534M_010.928,chr1,43070,48334,+,"{'ID': '534M_010.928', 'Name': '534M_010.928'}"
534M_010.927,chr1,64369,65616,+,"{'ID': '534M_010.927', 'Name': '534M_010.927'}"
534M_010.926,chr1,65985,70672,+,"{'ID': '534M_010.926', 'Name': '534M_010.926'}"
534M_010.925,chr1,70997,73277,-,"{'ID': '534M_010.925', 'Name': '534M_010.925'}"
534M_010.924,chr1,74121,74402,+,"{'ID': '534M_010.924', 'Name': '534M_010.924'}"
534M_010.923,chr1,77004,77460,+,"{'ID': '534M_010.923', 'Name': '534M_010.923'}"
534M_010.922,chr1,80232,84337,+,"{'ID': '534M_010.922', 'Name': '534M_010.922'}"
534M_010.921,chr1,89836,91193,+,"{'ID': '534M_010.921', 'Name': '534M_010.921'}"
534M_010.920,chr1,92708,95912,+,"{'ID': '534M_010.920', 'Name': '534M_010.920'}"
534M_010.919,chr1,96315,96533,-,"{'ID': '534M_010.919', 'Name': '534M_010.919'}"
534M_010.918,chr1,97154,98797,-,"{'ID': '534M_010.918', 'Name': '534M_010.918'}"
534M_010.917,chr1,126473,127415,+,"{'ID': '534M_010.917', 'Name': '534M_010.917'}"
534M_010.916,chr1,132313,133578,+,"{'ID': '534M_010.916', 'Name': '534M_010.916'}"
534M_010.915,chr1,134247,136327,+,"{'ID': '534M_010.915', 'Name': '534M_010.915'}"
534M_010.914,chr1,137821,139739,+,"{'ID': '534M_010.914', 'Name': '534M_010.914'}"
534M_010.913,chr1,140311,142435,+,"{'ID': '534M_010.913', 'Name': '534M_010.913'}"
534M_010.912,chr1,143987,148378,+,"{'ID': '534M_010.912', 'Name': '534M_010.912'}"
534M_010.911,chr1,149892,155648,-,"{'ID': '534M_010.911', 'Name': '534M_010.911'}"
534M_010.910,chr1,155764,155973,-,"{'ID': '534M_010.910', 'Name': '534M_010.910'}"
534M_010.909,chr1,161763,162424,-,"{'ID': '534M_010.909', 'Name': '534M_010.909'}"
534M_010.908,chr1,163209,165236,-,"{'ID': '534M_010.908', 'Name': '534M_010.908'}"
534M_010.907,chr1,170805,172625,+,"{'ID': '534M_010.907', 'Name': '534M_010.907'}"
534M_010.906,chr1,179712,182413,-,"{'ID': '534M_010.906', 'Name': '534M_010.906'}"
534M_010.905,chr1,183239,187663,+,"{'ID': '534M_010.905', 'Name': '534M_010.905'}"
534M_010.904,chr1,189606,191956,+,"{'ID': '534M_010.904', 'Name': '534M_010.904'}"
534M_010.903,chr1,193620,197679,+,"{'ID': '534M_010.903', 'Name': '534M_010.903'}"
534M_010.902,chr1,198031,201093,-,"{'ID': '534M_010.902', 'Name': '534M_010.902'}"
534M_010.901,chr1,201851,205357,+,"{'ID': '534M_010.901', 'Name': '534M_010.901'}"
534M_010.900,chr1,207797,208888,+,"{'ID': '534M_010.900', 'Name': '534M_010.900'}"
534M_010.899,chr1,211946,212311,-,"{'ID': '534M_010.899', 'Name': '534M_010.899'}"
534M_010.898,chr1,218724,221134,+,"{'ID': '534M_010.898', 'Name': '534M_010.898'}"
534M_010.897,chr1,233803,234824,+,"{'ID': '534M_010.897', 'Name': '534M_010.897'}"
534M_010.896,chr1,240787,248232,-,"{'ID': '534M_010.896', 'Name': '534M_010.896'}"
534M_010.895,chr1,253384,259804,+,"{'ID': '534M_010.895', 'Name': '534M_010.895'}"
534M_010.894,chr1,263796,268542,-,"{'ID': '534M_010.894', 'Name': '534M_010.894'}"
